Student ID,Name,Grade Level,Attendance,Academic Performance Math,Grade Math,Academic Performance English,Grade English,Academic Performance History,Grade History,Academic Performance Science,Grade Science,Extracurricular Activities,Learning Preferences,Social and Emotional Well-being,Recommendations
28,Student 28,10,100,D,D,F,A,D,A,D,A,['Music Band' 'Chess Club' 'Music Band'],Kinesthetic,8,To be generated
29,Student 29,10,94,A,D,D,A,D,D,C,C,['Music Band' 'Music Band' 'Basketball'],Auditory,6,To be generated
30,Student 30,9,90,D,C,C,B,C,B,C,B,['Basketball' 'Art Club' 'Science Club'],Kinesthetic,8,To be generated
31,Student 31,10,73,C,C,D,B,A,B,A,A,['Volunteer Club' 'Basketball' 'Volunteer Club'],Auditory,1,To be generated
32,Student 32,9,89,D,B,B,B,B,A,C,F,['Gardening Club'],Kinesthetic,4,To be generated
33,Student 33,12,78,C,F,B,B,B,C,D,A,['Art Club' 'Gardening Club' 'Chess Club'],Kinesthetic,2,To be generated
34,Student 34,9,94,C,D,C,F,D,F,A,A,['Art Club' 'Debate Team' 'Debate Team'],Visual,1,To be generated
35,Student 35,12,97,B,A,F,A,C,B,B,D,['Yearbook Committee' 'Language Club' 'Drama Club'],Kinesthetic,9,To be generated
36,Student 36,10,99,D,B,D,B,C,B,F,F,['Science Club' 'Robotics'],Visual,3,To be generated
37,Student 37,11,97,B,C,C,C,B,A,A,A,['Debate Team'],Auditory,5,To be generated
38,Student 38,12,84,D,A,A,F,C,B,F,F,['Art Club' 'Basketball' 'Coding Club'],Visual,4,To be generated
39,Student 39,12,93,C,F,B,A,D,F,D,C,['Science Club' 'Basketball'],Kinesthetic,6,To be generated
40,Student 40,9,70,C,C,A,F,D,A,B,F,['Gardening Club'],Auditory,10,To be generated
41,Student 41,11,89,F,F,A,D,C,D,F,A,['Drama Club'],Visual,4,To be generated
42,Student 42,12,78,B,F,D,B,D,D,A,F,['Soccer' 'Art Club'],Visual,5,To be generated
43,Student 43,9,77,A,D,C,C,D,D,C,D,['Art Club' 'Basketball' 'Music Band'],Visual,4,To be generated
44,Student 44,10,93,D,D,A,A,C,F,F,D,['Chess Club'],Visual,4,To be generated
45,Student 45,12,83,A,F,A,F,D,C,C,D,['Drama Club'],Kinesthetic,8,To be generated
46,Student 46,10,96,F,D,F,A,A,B,F,F,['Coding Club' 'Science Club' 'Yearbook Committee'],Auditory,7,To be generated
47,Student 47,12,87,C,C,F,D,D,F,D,A,['Debate Team' 'Chess Club' 'Art Club'],Visual,5,To be generated
48,Student 48,12,94,B,F,A,C,F,C,C,C,['Art Club' 'Music Band'],Visual,9,To be generated
49,Student 49,11,90,A,F,D,F,B,A,B,B,['Gardening Club' 'Gardening Club'],Visual,9,To be generated
50,Student 50,12,93,B,B,A,D,A,F,A,C,['Basketball' 'Yearbook Committee'],Kinesthetic,2,To be generated
51,Student 51,9,70,C,B,B,C,C,A,B,D,['Debate Team' 'Gardening Club' 'Mathletes'],Kinesthetic,2,To be generated
52,Student 52,10,81,B,B,C,B,B,C,F,A,['Drama Club' 'Debate Team'],Visual,6,To be generated
53,Student 53,10,98,B,B,D,A,F,F,F,F,['Soccer' 'Science Club'],Visual,1,To be generated
54,Student 54,10,74,D,A,F,D,B,B,B,F,['Robotics' 'Chess Club'],Auditory,10,To be generated
55,Student 55,12,95,A,B,C,A,D,C,F,A,['Language Club' 'Coding Club'],Auditory,5,To be generated
56,Student 56,9,70,F,C,B,A,B,B,D,A,['Robotics' 'Basketball' 'Chess Club'],Kinesthetic,7,To be generated
57,Student 57,12,80,B,A,D,D,C,A,A,D,['Coding Club' 'Soccer'],Visual,4,To be generated
58,Student 58,11,84,B,C,D,D,D,B,D,D,['Chess Club'],Kinesthetic,3,To be generated
59,Student 59,9,92,F,B,D,F,D,F,C,A,['Music Band'],Visual,4,To be generated
60,Student 60,12,98,A,F,F,C,F,F,A,D,['Yearbook Committee'],Auditory,1,To be generated
61,Student 61,12,90,C,A,C,B,B,D,A,B,['Art Club'],Auditory,6,To be generated
62,Student 62,11,88,D,F,B,C,F,B,F,F,['Chess Club' 'Music Band' 'Art Club'],Kinesthetic,1,To be generated
63,Student 63,12,74,F,C,A,B,D,D,C,D,['Coding Club' 'Art Club'],Kinesthetic,3,To be generated
64,Student 64,11,92,B,C,A,B,D,C,B,D,['Soccer' 'Language Club'],Kinesthetic,3,To be generated
65,Student 65,12,73,C,A,A,F,F,A,C,D,['Robotics'],Auditory,9,To be generated
66,Student 66,9,96,D,C,C,C,D,C,B,A,['Music Band' 'Language Club' 'Volunteer Club'],Visual,9,To be generated
67,Student 67,11,89,F,A,D,D,B,A,C,B,['Drama Club' 'Volunteer Club' 'Coding Club'],Visual,1,To be generated
68,Student 68,9,77,B,C,B,A,A,B,C,D,['Music Band'],Kinesthetic,9,To be generated
69,Student 69,9,78,A,F,F,F,F,F,B,B,['Yearbook Committee' 'Yearbook Committee' 'Art Club'],Visual,8,To be generated
70,Student 70,9,99,F,D,D,F,C,B,D,B,['Volunteer Club' 'Science Club' 'Chess Club'],Visual,2,To be generated
71,Student 71,10,83,B,B,F,F,A,A,F,A,['Music Band'],Kinesthetic,7,To be generated
72,Student 72,10,75,C,B,D,D,C,D,F,D,['Science Club' 'Mathletes'],Auditory,7,To be generated
73,Student 73,11,70,F,D,A,A,D,A,F,B,['Chess Club' 'Robotics' 'Chess Club'],Kinesthetic,3,To be generated
74,Student 74,9,78,D,D,D,B,A,D,B,D,['Drama Club' 'Gardening Club'],Kinesthetic,3,To be generated
75,Student 75,9,85,A,A,A,D,D,C,F,D,['Music Band' 'Debate Team' 'Music Band'],Kinesthetic,2,To be generated
76,Student 76,10,85,F,C,A,C,D,F,A,C,['Art Club'],Visual,4,To be generated
77,Student 77,12,91,F,F,B,C,F,C,C,F,['Music Band'],Kinesthetic,10,To be generated
78,Student 78,9,81,A,B,B,D,C,B,B,D,['Soccer' 'Yearbook Committee' 'Mathletes'],Kinesthetic,6,To be generated
79,Student 79,10,74,C,D,F,F,B,D,B,A,['Coding Club' 'Drama Club'],Auditory,6,To be generated
80,Student 80,11,77,D,D,F,D,F,D,A,F,['Volunteer Club' 'Chess Club'],Auditory,3,To be generated
81,Student 81,11,98,B,D,C,A,F,C,C,A,['Art Club' 'Coding Club'],Kinesthetic,2,To be generated
82,Student 82,12,83,C,C,C,B,C,F,F,A,['Soccer' 'Coding Club'],Auditory,7,To be generated
83,Student 83,9,96,B,F,F,B,F,F,B,A,['Art Club' 'Art Club' 'Coding Club'],Kinesthetic,3,To be generated
84,Student 84,10,80,D,D,B,B,C,C,B,C,['Mathletes'],Auditory,10,To be generated
85,Student 85,10,90,C,F,A,B,F,F,B,F,['Basketball'],Kinesthetic,6,To be generated
86,Student 86,12,84,F,B,C,F,A,B,B,A,['Volunteer Club' 'Robotics'],Auditory,2,To be generated
87,Student 87,10,87,C,A,B,C,C,A,B,C,['Art Club' 'Coding Club' 'Debate Team'],Visual,5,To be generated
88,Student 88,10,97,B,A,A,C,B,D,B,F,['Art Club' 'Chess Club' 'Drama Club'],Auditory,4,To be generated
89,Student 89,12,89,F,B,C,D,F,D,A,A,['Chess Club'],Auditory,4,To be generated
90,Student 90,11,73,A,A,B,B,A,D,B,A,['Coding Club'],Kinesthetic,2,To be generated
91,Student 91,12,79,C,D,F,C,B,A,D,D,['Chess Club'],Auditory,6,To be generated
92,Student 92,12,88,C,C,B,A,F,B,C,F,['Chess Club' 'Debate Team'],Auditory,5,To be generated
93,Student 93,11,91,F,A,C,D,F,C,C,B,['Drama Club' 'Debate Team'],Visual,4,To be generated
94,Student 94,11,72,C,B,A,F,D,F,F,A,['Mathletes'],Kinesthetic,10,To be generated
95,Student 95,12,89,F,C,C,C,F,F,B,A,['Chess Club' 'Debate Team' 'Volunteer Club'],Visual,4,To be generated
96,Student 96,9,100,A,B,D,B,B,A,B,A,['Art Club' 'Science Club'],Kinesthetic,8,To be generated
97,Student 97,11,91,C,D,F,F,B,D,A,D,['Volunteer Club' 'Science Club' 'Gardening Club'],Kinesthetic,9,To be generated
98,Student 98,12,96,B,B,D,A,A,F,D,D,['Robotics' 'Robotics'],Kinesthetic,5,To be generated
99,Student 99,10,81,C,D,C,A,D,C,C,D,['Drama Club' 'Robotics'],Auditory,4,To be generated
100,Student 100,9,93,F,A,C,A,A,F,C,F,['Language Club'],Kinesthetic,3,To be generated
101,Student 101,10,98,F,C,B,F,A,D,F,C,['Soccer'],Visual,10,To be generated
102,Student 102,11,98,B,F,B,C,F,C,B,F,['Robotics' 'Soccer'],Auditory,10,To be generated
103,Student 103,9,88,B,C,D,C,A,D,A,C,['Chess Club'],Kinesthetic,5,To be generated
104,Student 104,12,83,F,F,B,B,C,D,F,B,['Mathletes' 'Soccer'],Kinesthetic,10,To be generated
105,Student 105,9,93,F,A,B,F,D,A,F,F,['Soccer'],Auditory,6,To be generated
106,Student 106,11,71,C,B,D,C,F,D,F,A,['Chess Club' 'Chess Club' 'Drama Club'],Visual,4,To be generated
107,Student 107,9,76,F,D,B,D,C,C,A,B,['Volunteer Club' 'Chess Club' 'Basketball'],Visual,5,To be generated
108,Student 108,12,80,B,D,D,B,B,A,A,A,['Basketball' 'Mathletes' 'Gardening Club'],Auditory,5,To be generated
109,Student 109,12,91,C,D,A,C,D,A,B,C,['Chess Club'],Auditory,10,To be generated
110,Student 110,9,86,F,A,D,D,B,C,A,D,['Debate Team' 'Soccer'],Auditory,2,To be generated
111,Student 111,12,100,A,A,B,B,B,A,F,C,['Language Club' 'Drama Club' 'Coding Club'],Auditory,4,To be generated
112,Student 112,9,97,B,F,F,A,F,C,B,F,['Mathletes' 'Basketball' 'Soccer'],Auditory,2,To be generated
113,Student 113,9,86,A,C,F,A,C,F,F,B,['Yearbook Committee' 'Music Band'],Kinesthetic,9,To be generated
114,Student 114,9,96,C,C,D,D,D,A,F,B,['Volunteer Club' 'Art Club'],Visual,3,To be generated
115,Student 115,9,98,B,B,F,A,F,F,C,B,['Yearbook Committee' 'Art Club'],Auditory,9,To be generated
116,Student 116,11,73,C,F,F,D,A,A,A,C,['Coding Club' 'Art Club'],Kinesthetic,2,To be generated
117,Student 117,12,96,D,A,B,B,D,D,C,F,['Science Club'],Auditory,7,To be generated
118,Student 118,9,87,B,A,A,C,F,C,C,D,['Coding Club' 'Music Band' 'Music Band'],Visual,10,To be generated
119,Student 119,12,80,C,D,A,B,D,D,F,B,['Basketball' 'Mathletes'],Visual,2,To be generated
120,Student 120,11,79,A,F,B,D,D,F,A,D,['Gardening Club' 'Science Club' 'Science Club'],Visual,2,To be generated
121,Student 121,12,82,C,F,A,F,F,C,F,B,['Robotics' 'Chess Club' 'Soccer'],Visual,2,To be generated
122,Student 122,12,83,F,A,D,F,B,C,D,B,['Music Band' 'Coding Club' 'Coding Club'],Kinesthetic,5,To be generated
123,Student 123,10,95,F,F,A,D,B,F,F,C,['Science Club'],Visual,10,To be generated
124,Student 124,10,76,A,D,F,A,F,C,F,A,['Yearbook Committee'],Auditory,5,To be generated
125,Student 125,10,76,C,D,B,D,D,C,A,B,['Gardening Club'],Visual,8,To be generated
126,Student 126,9,77,B,A,C,C,B,A,F,A,['Gardening Club' 'Music Band'],Kinesthetic,1,To be generated
127,Student 127,10,78,A,A,F,B,C,B,F,C,['Robotics'],Visual,2,To be generated
128,Student 128,10,83,C,F,F,D,A,D,C,B,['Chess Club' 'Gardening Club' 'Science Club'],Auditory,8,To be generated
129,Student 129,10,94,D,F,D,C,A,B,F,F,['Volunteer Club' 'Coding Club' 'Debate Team'],Kinesthetic,8,To be generated
130,Student 130,12,77,F,C,C,F,C,C,A,B,['Yearbook Committee' 'Language Club' 'Language Club'],Kinesthetic,7,To be generated
131,Student 131,9,86,A,F,D,D,C,B,C,B,['Gardening Club'],Auditory,3,To be generated
132,Student 132,12,94,C,F,B,A,C,A,B,F,['Debate Team' 'Volunteer Club' 'Drama Club'],Visual,10,To be generated
133,Student 133,10,92,D,B,C,D,D,F,B,F,['Debate Team'],Visual,3,To be generated
134,Student 134,11,94,F,A,B,F,B,F,F,B,['Coding Club'],Visual,3,To be generated
135,Student 135,9,85,D,F,A,C,C,B,C,D,['Mathletes' 'Science Club' 'Art Club'],Visual,8,To be generated
136,Student 136,10,95,A,B,F,D,F,A,D,C,['Debate Team' 'Mathletes'],Visual,2,To be generated
137,Student 137,11,78,C,F,A,D,A,F,B,D,['Debate Team' 'Drama Club' 'Volunteer Club'],Visual,7,To be generated
138,Student 138,9,73,D,A,B,A,A,B,C,B,['Drama Club'],Visual,8,To be generated
139,Student 139,11,76,D,C,D,D,C,B,B,A,['Science Club'],Kinesthetic,7,To be generated
140,Student 140,9,87,D,D,F,B,B,D,C,F,['Gardening Club'],Visual,3,To be generated
141,Student 141,10,77,B,A,F,D,C,A,F,F,['Music Band' 'Chess Club' 'Debate Team'],Visual,2,To be generated
142,Student 142,12,90,D,A,C,C,F,D,C,A,['Chess Club' 'Robotics'],Visual,9,To be generated
143,Student 143,11,95,C,B,A,B,C,B,C,C,['Yearbook Committee'],Auditory,4,To be generated
144,Student 144,11,72,C,B,B,A,D,D,A,C,['Language Club' 'Volunteer Club'],Visual,1,To be generated
145,Student 145,10,98,C,B,B,C,C,D,F,B,['Science Club' 'Robotics' 'Chess Club'],Kinesthetic,9,To be generated
146,Student 146,9,86,F,C,B,A,D,B,D,B,['Mathletes' 'Music Band'],Visual,10,To be generated
147,Student 147,12,94,D,B,B,D,B,F,B,F,['Coding Club' 'Volunteer Club'],Kinesthetic,8,To be generated
148,Student 148,10,88,A,A,D,D,B,C,C,A,['Basketball' 'Gardening Club'],Auditory,10,To be generated
149,Student 149,10,83,F,B,B,D,F,F,C,A,['Volunteer Club' 'Volunteer Club'],Auditory,3,To be generated
150,Student 150,12,93,B,F,D,F,B,A,F,D,['Debate Team' 'Gardening Club' 'Basketball'],Kinesthetic,4,To be generated
151,Student 151,9,94,C,F,D,F,D,F,A,C,['Soccer'],Kinesthetic,2,To be generated
152,Student 152,11,74,B,D,C,F,B,B,B,C,['Language Club' 'Debate Team' 'Basketball'],Auditory,10,To be generated
153,Student 153,11,74,F,F,C,B,D,D,D,B,['Science Club' 'Volunteer Club'],Kinesthetic,4,To be generated
154,Student 154,12,82,B,D,A,F,F,A,C,B,['Gardening Club' 'Art Club'],Visual,6,To be generated
155,Student 155,11,87,F,F,B,D,D,A,A,C,['Science Club' 'Chess Club' 'Coding Club'],Auditory,5,To be generated
156,Student 156,12,93,B,C,D,D,C,A,B,D,['Robotics'],Auditory,4,To be generated
157,Student 157,12,100,C,D,C,A,B,D,B,B,['Language Club' 'Art Club' 'Soccer'],Kinesthetic,3,To be generated
158,Student 158,12,92,D,F,B,C,A,F,D,B,['Science Club' 'Language Club' 'Language Club'],Visual,7,To be generated
159,Student 159,11,95,C,D,C,C,C,D,F,D,['Yearbook Committee' 'Chess Club' 'Coding Club'],Visual,1,To be generated
160,Student 160,10,90,C,D,C,B,D,C,B,F,['Basketball' 'Soccer' 'Basketball'],Auditory,10,To be generated
161,Student 161,11,71,C,F,A,C,C,A,B,C,['Mathletes' 'Mathletes'],Kinesthetic,9,To be generated
162,Student 162,11,75,D,A,D,B,C,B,D,A,['Gardening Club' 'Basketball' 'Coding Club'],Visual,1,To be generated
163,Student 163,12,95,C,B,D,A,C,D,C,A,['Gardening Club' 'Gardening Club'],Visual,9,To be generated
164,Student 164,11,93,F,D,C,D,C,A,F,A,['Basketball' 'Debate Team'],Kinesthetic,5,To be generated
165,Student 165,12,97,B,D,B,D,D,D,D,A,['Robotics' 'Mathletes'],Kinesthetic,4,To be generated
166,Student 166,12,99,D,D,D,B,B,D,C,A,['Volunteer Club'],Auditory,7,To be generated
167,Student 167,11,71,A,B,A,F,B,F,D,F,['Coding Club' 'Debate Team' 'Mathletes'],Visual,9,To be generated
168,Student 168,11,89,F,D,D,A,C,D,D,C,['Debate Team'],Auditory,5,To be generated
169,Student 169,12,91,D,D,A,D,A,B,D,B,['Mathletes'],Auditory,3,To be generated
170,Student 170,9,93,B,F,B,D,B,C,A,A,['Language Club' 'Soccer' 'Science Club'],Kinesthetic,5,To be generated
171,Student 171,10,89,D,A,C,A,D,C,D,D,['Soccer' 'Basketball'],Visual,6,To be generated
172,Student 172,11,92,F,C,B,B,D,D,C,A,['Music Band'],Kinesthetic,8,To be generated
173,Student 173,12,92,F,C,B,F,B,D,C,F,['Gardening Club' 'Coding Club' 'Basketball'],Kinesthetic,3,To be generated
174,Student 174,11,77,A,B,A,B,D,D,B,C,['Art Club'],Auditory,4,To be generated
175,Student 175,10,79,C,C,B,A,D,C,A,D,['Science Club' 'Coding Club' 'Soccer'],Visual,2,To be generated
176,Student 176,11,87,B,A,C,C,F,D,C,A,['Volunteer Club' 'Chess Club'],Kinesthetic,10,To be generated
177,Student 177,10,79,F,C,D,B,D,F,A,F,['Basketball' 'Music Band'],Auditory,7,To be generated
178,Student 178,9,92,F,A,A,C,B,D,B,A,['Chess Club' 'Yearbook Committee'],Visual,2,To be generated
179,Student 179,11,70,B,A,A,A,B,B,A,A,['Art Club' 'Robotics'],Kinesthetic,7,To be generated
180,Student 180,11,89,F,F,B,C,A,B,C,D,['Soccer'],Visual,6,To be generated
181,Student 181,12,94,A,C,B,D,C,C,F,F,['Robotics' 'Mathletes' 'Robotics'],Auditory,1,To be generated
182,Student 182,9,74,A,D,B,C,B,B,A,C,['Coding Club'],Auditory,8,To be generated
183,Student 183,12,87,C,B,F,F,D,C,A,F,['Drama Club' 'Science Club' 'Science Club'],Kinesthetic,8,To be generated
184,Student 184,11,90,D,D,C,F,A,B,F,C,['Language Club' 'Yearbook Committee' 'Music Band'],Auditory,6,To be generated
185,Student 185,12,91,B,C,B,A,F,C,D,C,['Drama Club' 'Yearbook Committee' 'Chess Club'],Auditory,10,To be generated
186,Student 186,9,86,A,C,F,F,A,A,F,C,['Language Club'],Auditory,2,To be generated
187,Student 187,9,73,A,D,A,C,D,B,D,C,['Robotics' 'Yearbook Committee' 'Coding Club'],Visual,1,To be generated
188,Student 188,11,100,A,F,C,D,B,D,F,F,['Volunteer Club'],Kinesthetic,4,To be generated
189,Student 189,9,80,A,C,F,A,A,C,A,D,['Debate Team'],Kinesthetic,10,To be generated
190,Student 190,11,71,C,F,A,B,D,C,D,C,['Debate Team'],Auditory,9,To be generated
191,Student 191,12,90,F,B,D,D,F,F,D,B,['Drama Club' 'Language Club'],Auditory,4,To be generated
192,Student 192,11,74,A,C,D,B,A,A,F,C,['Science Club'],Visual,3,To be generated
193,Student 193,11,74,C,D,C,A,D,A,A,B,['Music Band'],Kinesthetic,2,To be generated
194,Student 194,12,86,D,F,F,B,C,D,A,A,['Science Club' 'Volunteer Club'],Visual,2,To be generated
195,Student 195,9,86,F,B,F,D,B,C,A,C,['Debate Team' 'Mathletes'],Kinesthetic,9,To be generated
196,Student 196,9,85,D,A,A,F,D,A,D,B,['Drama Club'],Kinesthetic,7,To be generated
197,Student 197,9,80,F,B,D,A,C,A,D,C,['Art Club'],Visual,2,To be generated
198,Student 198,10,83,F,F,D,F,B,F,D,F,['Volunteer Club' 'Chess Club' 'Science Club'],Visual,1,To be generated
199,Student 199,11,78,F,C,B,F,B,D,A,D,['Soccer' 'Mathletes' 'Yearbook Committee'],Auditory,1,To be generated
200,Student 200,9,100,C,C,F,F,B,D,B,A,['Coding Club'],Kinesthetic,4,To be generated
201,Student 201,10,97,B,A,C,D,C,A,B,D,['Soccer' 'Drama Club' 'Robotics'],Auditory,9,To be generated
202,Student 202,11,81,D,F,D,C,A,B,D,D,['Soccer'],Kinesthetic,7,To be generated
203,Student 203,12,90,F,C,C,F,C,F,D,F,['Gardening Club' 'Yearbook Committee' 'Chess Club'],Auditory,3,To be generated
204,Student 204,11,76,F,C,C,C,C,B,A,B,['Gardening Club'],Auditory,9,To be generated
205,Student 205,11,79,A,F,B,A,D,F,A,A,['Drama Club' 'Soccer'],Kinesthetic,2,To be generated
206,Student 206,12,98,A,B,D,B,D,B,B,D,['Debate Team' 'Gardening Club' 'Gardening Club'],Auditory,9,To be generated
207,Student 207,10,97,C,D,C,F,F,D,B,C,['Volunteer Club' 'Science Club' 'Language Club'],Visual,3,To be generated
208,Student 208,9,85,F,B,D,C,C,C,F,B,['Soccer'],Visual,10,To be generated
209,Student 209,9,73,D,F,B,A,C,D,A,A,['Volunteer Club' 'Science Club'],Auditory,8,To be generated
210,Student 210,9,89,D,B,A,D,F,A,C,D,['Music Band'],Kinesthetic,9,To be generated
211,Student 211,12,82,A,C,A,A,C,B,F,D,['Science Club'],Kinesthetic,10,To be generated
212,Student 212,12,88,A,F,A,D,C,A,A,B,['Robotics' 'Basketball' 'Yearbook Committee'],Kinesthetic,1,To be generated
213,Student 213,9,87,B,C,C,B,F,D,C,C,['Basketball'],Auditory,2,To be generated
214,Student 214,11,80,F,C,C,B,F,B,C,D,['Robotics'],Visual,2,To be generated
215,Student 215,11,72,F,C,C,C,F,F,D,F,['Volunteer Club'],Auditory,2,To be generated
216,Student 216,9,71,A,B,D,D,B,C,D,F,['Science Club'],Visual,3,To be generated
217,Student 217,9,81,A,D,F,D,D,D,C,B,['Coding Club'],Auditory,9,To be generated
218,Student 218,12,73,A,A,D,B,F,D,C,A,['Science Club' 'Art Club'],Auditory,8,To be generated
219,Student 219,9,82,B,D,A,A,B,C,F,B,['Volunteer Club' 'Coding Club' 'Debate Team'],Kinesthetic,7,To be generated
220,Student 220,10,74,B,A,F,A,D,D,C,B,['Debate Team'],Visual,2,To be generated
221,Student 221,11,96,B,F,B,C,F,B,D,A,['Chess Club' 'Chess Club'],Auditory,9,To be generated
222,Student 222,9,71,F,D,F,B,C,B,D,A,['Coding Club' 'Chess Club'],Visual,2,To be generated
223,Student 223,9,87,B,A,B,B,C,D,D,A,['Debate Team' 'Volunteer Club'],Auditory,8,To be generated
224,Student 224,12,70,F,C,C,F,D,B,B,C,['Yearbook Committee'],Visual,5,To be generated
225,Student 225,10,77,A,F,A,C,A,D,F,D,['Language Club'],Auditory,9,To be generated
226,Student 226,12,94,F,D,C,B,D,D,F,B,['Robotics'],Visual,9,To be generated
227,Student 227,9,96,D,B,D,F,B,F,F,F,['Drama Club'],Kinesthetic,5,To be generated
228,Student 228,11,74,C,F,C,D,C,C,B,A,['Music Band' 'Debate Team'],Visual,1,To be generated
229,Student 229,10,73,A,C,C,F,C,B,F,A,['Robotics' 'Science Club'],Auditory,8,To be generated
230,Student 230,10,75,D,C,F,B,F,C,B,A,['Art Club' 'Soccer'],Visual,10,To be generated
231,Student 231,10,76,C,C,B,A,B,F,B,D,['Drama Club' 'Yearbook Committee' 'Chess Club'],Auditory,3,To be generated
232,Student 232,12,73,D,A,A,C,A,A,C,F,['Mathletes'],Kinesthetic,1,To be generated
233,Student 233,9,72,C,D,C,D,B,D,B,B,['Yearbook Committee' 'Gardening Club' 'Debate Team'],Kinesthetic,7,To be generated
234,Student 234,9,95,C,F,C,A,B,B,A,D,['Volunteer Club' 'Debate Team' 'Music Band'],Auditory,9,To be generated
235,Student 235,9,78,B,D,B,C,B,A,A,C,['Debate Team' 'Science Club' 'Drama Club'],Visual,6,To be generated
236,Student 236,10,98,D,D,D,D,B,A,F,F,['Yearbook Committee' 'Basketball'],Auditory,8,To be generated
237,Student 237,10,71,D,A,D,D,A,B,A,F,['Art Club'],Visual,10,To be generated
238,Student 238,11,98,A,A,F,B,B,A,C,C,['Volunteer Club' 'Coding Club'],Visual,4,To be generated
239,Student 239,10,74,F,C,B,F,A,D,A,B,['Robotics' 'Yearbook Committee'],Kinesthetic,6,To be generated
240,Student 240,9,96,D,D,C,A,D,D,B,F,['Soccer' 'Coding Club' 'Music Band'],Auditory,1,To be generated
241,Student 241,9,70,D,A,D,F,B,D,A,A,['Science Club' 'Coding Club' 'Chess Club'],Visual,4,To be generated
242,Student 242,10,94,A,C,D,B,F,F,D,B,['Art Club'],Visual,1,To be generated
243,Student 243,11,83,A,F,A,B,A,A,C,D,['Debate Team' 'Yearbook Committee'],Visual,9,To be generated
244,Student 244,10,89,B,A,A,A,A,D,F,C,['Science Club' 'Basketball'],Auditory,5,To be generated
245,Student 245,10,79,F,A,F,D,B,F,D,A,['Robotics' 'Volunteer Club'],Auditory,9,To be generated
246,Student 246,12,91,F,F,D,C,F,D,C,A,['Debate Team'],Visual,4,To be generated
247,Student 247,10,75,B,F,D,D,F,D,C,A,['Art Club' 'Basketball' 'Drama Club'],Visual,1,To be generated
248,Student 248,9,71,A,A,B,F,B,B,C,D,['Robotics' 'Volunteer Club'],Visual,10,To be generated
249,Student 249,9,77,A,F,A,A,F,D,A,A,['Volunteer Club' 'Science Club' 'Coding Club'],Kinesthetic,7,To be generated
